year,city,total_population,migration_population,ratio
2014,西安(6101),3681750,691750,18.79
2015,西安(6101),3571106,652061,18.26
2016,西安(6101),3510303,614788,17.51
2017,西安(6101),3429218,545415,15.9
2018,西安(6101),3356604,508387,15.15
2019,西安(6101),3266013,476954,14.6
2020,西安(6101),5162077,718484,13.92
2000,许昌(4110),139174,2284,1.64
2001,许昌(4110),140629,2549,1.81
2002,许昌(4110),142353,2808,1.97
2003,许昌(4110),144709,3113,2.15
2004,许昌(4110),147750,3429,2.32
2005,许昌(4110),153777,3909,2.54
2006,许昌(4110),168646,4705,2.79
2007,许昌(4110),183459,5429,2.96
2008,许昌(4110),198166,6085,3.07
2009,许昌(4110),213030,7061,3.31
2010,许昌(4110),221754,7677,3.46
2011,许昌(4110),231007,7973,3.45
2012,许昌(4110),237148,8301,3.5
2013,许昌(4110),245953,8553,3.48
2014,许昌(4110),253964,8742,3.44
2015,许昌(4110),248055,8674,3.5
2016,许昌(4110),245892,8517,3.46
2017,许昌(4110),244811,8461,3.46
2018,许昌(4110),241834,8281,3.42
2019,许昌(4110),236895,8037,3.39
2020,许昌(4110),377162,12818,3.4
2000,贵港(4508),70757,680,0.96
2001,贵港(4508),74958,800,1.07
2002,贵港(4508),78263,853,1.09
2003,贵港(4508),81555,1044,1.28
2004,贵港(4508),85185,1196,1.4
2005,贵港(4508),90161,1292,1.43
2006,贵港(4508),100779,1684,1.67
2007,贵港(4508),110599,1909,1.73
2008,贵港(4508),121330,2284,1.88
2009,贵港(4508),131805,2596,1.97
2010,贵港(4508),138419,3125,2.26
2011,贵港(4508),144209,3168,2.2
2012,贵港(4508),147780,3269,2.21
2013,贵港(4508),153365,3344,2.18
2014,贵港(4508),158405,3449,2.18
2015,贵港(4508),154580,3296,2.13
2016,贵港(4508),153232,3209,2.09
2017,贵港(4508),152608,3205,2.1
2018,贵港(4508),150724,3152,2.09
2019,贵港(4508),147606,3101,2.1
2020,贵港(4508),235179,5053,2.15
2000,贵阳(5201),1289740,223157,17.3
2001,贵阳(5201),1330526,250656,18.84
2002,贵阳(5201),1376591,279275,20.29
2003,贵阳(5201),1430382,312516,21.85
2004,贵阳(5201),1488238,348213,23.4
2005,贵阳(5201),1532989,347769,22.69
2006,贵阳(5201),1702398,403375,23.69
2007,贵阳(5201),1875001,462296,24.66
2008,贵阳(5201),2050335,524945,25.6
2009,贵阳(5201),2225828,588019,26.42
2010,贵阳(5201),2340322,636300,27.19
2011,贵阳(5201),2391763,618339,25.85
2012,贵阳(5201),2410506,590849,24.51
2013,贵阳(5201),2470665,581550,23.54
2014,贵阳(5201),2521903,571255,22.65
2015,贵阳(5201),2444075,539544,22.08
2016,贵阳(5201),2397256,508262,21.2
2017,贵阳(5201),2365639,484436,20.48
2018,贵阳(5201),2328185,469975,20.19
2019,贵阳(5201),2268861,449151,19.8
2020,贵阳(5201),3608230,709162,19.65
2000,贺州(4511),48591,632,1.3
2001,贺州(4511),50567,708,1.4
2002,贺州(4511),52762,804,1.52
2003,贺州(4511),54609,984,1.8
2004,贺州(4511),57074,1081,1.89
2005,贺州(4511),60278,1213,2.01
2006,贺州(4511),66888,1492,2.23
2007,贺州(4511),73642,1757,2.39
2008,贺州(4511),80311,1996,2.49
2009,贺州(4511),87077,2333,2.68
2010,贺州(4511),91851,2813,3.06
2011,贺州(4511),95789,2973,3.1
2012,贺州(4511),98076,2993,3.05
2013,贺州(4511),101759,3128,3.07
2014,贺州(4511),105063,3157,3.0
2015,贺州(4511),102653,3125,3.04
2016,贺州(4511),101730,3101,3.05
2017,贺州(4511),101295,2973,2.93
2018,贺州(4511),99974,2937,2.94
2019,贺州(4511),97893,2813,2.87
2020,贺州(4511),156268,4757,3.04
2000,资阳(5120),52359,424,0.81
2001,资阳(5120),53065,560,1.06
2002,资阳(5120),54375,629,1.16
2003,资阳(5120),55202,680,1.23
2004,资阳(5120),56616,724,1.28
2005,资阳(5120),58815,804,1.37
2006,资阳(5120),64611,964,1.49
2007,资阳(5120),70523,1084,1.54
2008,资阳(5120),76231,1213,1.59
2009,资阳(5120),81811,1425,1.74
2010,资阳(5120),85544,1848,2.16
2011,资阳(5120),89104,1969,2.21
2012,资阳(5120),91397,2044,2.24
2013,资阳(5120),94874,2133,2.25
2014,资阳(5120),98169,2285,2.33
2015,资阳(5120),95778,2273,2.37
2016,资阳(5120),95014,2272,2.39
2017,资阳(5120),94608,2272,2.4
2018,资阳(5120),93500,2273,2.43
2019,资阳(5120),91630,2260,2.47
2020,资阳(5120),146051,3766,2.58
2000,赣州(3607),265754,4760,1.79
2001,赣州(3607),257198,4760,1.85
2002,赣州(3607),251186,4989,1.99
2003,赣州(3607),246633,4968,2.01
2004,赣州(3607),243895,5152,2.11
2005,赣州(3607),246567,5428,2.2
2006,赣州(3607),263763,5924,2.25
2007,赣州(3607),280261,6532,2.33
2008,赣州(3607),297040,7161,2.41
2009,赣州(3607),312666,7773,2.49
2010,赣州(3607),319741,8257,2.58
2011,赣州(3607),332989,8552,2.57
2012,赣州(3607),341563,8728,2.56
2013,赣州(3607),354512,8961,2.53
2014,赣州(3607),365953,9113,2.49
2015,赣州(3607),357360,8921,2.5
2016,赣州(3607),354291,8741,2.47
2017,赣州(3607),352873,8688,2.46
2018,赣州(3607),348455,8516,2.44
2019,赣州(3607),341097,8260,2.42
2020,赣州(3607),543347,13045,2.4
2000,赤峰(1504),165515,3193,1.93
2001,赤峰(1504),189948,4705,2.48
2002,赤峰(1504),212567,6297,2.96
2003,赤峰(1504),233095,8105,3.48
2004,赤峰(1504),252753,9934,3.93
2005,赤峰(1504),277065,12418,4.48
2006,赤峰(1504),317206,15759,4.97
2007,赤峰(1504),358164,19594,5.47
2008,赤峰(1504),400126,24051,6.01
2009,赤峰(1504),443048,28899,6.52
2010,赤峰(1504),473582,33261,7.02
2011,赤峰(1504),493348,34844,7.06
2012,赤峰(1504),506274,36045,7.12
2013,赤峰(1504),526342,38002,7.22
2014,赤峰(1504),543669,39437,7.25
2015,赤峰(1504),531248,38990,7.34
2016,赤峰(1504),527252,38869,7.37
2017,赤峰(1504),525291,38978,7.42
2018,赤峰(1504),519093,38794,7.47
2019,赤峰(1504),508415,38171,7.51
2020,赤峰(1504),810564,61225,7.55
2000,辽源(2204),0,0,nan
2001,辽源(2204),0,0,nan
2002,辽源(2204),0,0,nan
2003,辽源(2204),0,0,nan
2004,辽源(2204),0,0,nan
2005,辽源(2204),0,0,nan
2006,辽源(2204),0,0,nan
2007,辽源(2204),0,0,nan
2008,辽源(2204),0,0,nan
2009,辽源(2204),0,0,nan
2010,辽源(2204),0,0,nan
2011,辽源(2204),0,0,nan
2012,辽源(2204),0,0,nan
2013,辽源(2204),0,0,nan
2014,辽源(2204),0,0,nan
2015,辽源(2204),0,0,nan
2016,辽源(2204),0,0,nan
2017,辽源(2204),0,0,nan
2018,辽源(2204),0,0,nan
2019,辽源(2204),0,0,nan
2020,辽源(2204),0,0,nan
2000,辽阳(2110),217650,13050,6.0
2001,辽阳(2110),218761,14342,6.56
2002,辽阳(2110),221512,15702,7.09
2003,辽阳(2110),224567,17047,7.59
2004,辽阳(2110),228643,18602,8.14
2005,辽阳(2110),237099,20488,8.64
2006,辽阳(2110),260072,23868,9.18
2007,辽阳(2110),282754,27406,9.69
2008,辽阳(2110),305844,31311,10.24
2009,辽阳(2110),328876,35413,10.77
2010,辽阳(2110),343118,38852,11.32
2011,辽阳(2110),357170,40406,11.31
2012,辽阳(2110),366144,41431,11.32
2013,辽阳(2110),380585,43183,11.35
2014,辽阳(2110),393136,44684,11.37
2015,辽阳(2110),383986,43824,11.41
2016,辽阳(2110),380742,43393,11.4
2017,辽阳(2110),379427,43398,11.44
2018,辽阳(2110),375125,43193,11.51
2019,辽阳(2110),367180,42412,11.55
2020,辽阳(2110),596306,78516,13.17
2000,达州(5117),191186,3368,1.76
2001,达州(5117),187978,3624,1.93
2002,达州(5117),186658,3845,2.06
2003,达州(5117),186151,3909,2.1
2004,达州(5117),186866,4296,2.3
2005,达州(5117),191169,4636,2.43
2006,达州(5117),206365,5145,2.49
2007,达州(5117),222132,5920,2.67
2008,达州(5117),236824,6576,2.78
2009,达州(5117),252169,7377,2.93
2010,达州(5117),260365,8309,3.19
2011,达州(5117),271180,8669,3.2
2012,达州(5117),278118,8877,3.19
2013,达州(5117),288649,9161,3.17
2014,达州(5117),298191,9600,3.22
2015,达州(5117),291215,9185,3.15
2016,达州(5117),288675,9161,3.17
2017,达州(5117),287568,9092,3.16
2018,达州(5117),284102,9077,3.19
2019,达州(5117),278096,8942,3.22
2020,达州(5117),443307,14362,3.24
2000,运城(1408),133355,1896,1.42
2001,运城(1408),132439,2032,1.53
2002,运城(1408),132859,2256,1.7
2003,运城(1408),133513,2336,1.75
2004,运城(1408),134944,2545,1.89
2005,运城(1408),138901,2676,1.93
2006,运城(1408),151089,3156,2.09
2007,运城(1408),163161,3629,2.22
2008,运城(1408),175136,3984,2.27
2009,运城(1408),187110,4605,2.46
2010,运城(1408),193207,4897,2.53
2011,运城(1408),201323,5188,2.58
2012,运城(1408),206421,5320,2.58
2013,运城(1408),214641,5709,2.66
2014,运城(1408),221626,5845,2.64
2015,运城(1408),216286,5797,2.68
2016,运城(1408),214729,5797,2.7
2017,运城(1408),213681,5809,2.72
2018,运城(1408),211137,5797,2.75
2019,运城(1408),206812,5721,2.77
2020,运城(1408),329395,9033,2.74
2000,连云港(3207),185961,3948,2.12
2001,连云港(3207),200773,5077,2.53
2002,连云港(3207),215099,6297,2.93
2003,连云港(3207),228694,7621,3.33
2004,连云港(3207),241933,8909,3.68
2005,连云港(3207),259207,10566,4.08
2006,连云港(3207),291966,13070,4.48
2007,连云港(3207),325170,15887,4.89
2008,连云港(3207),358924,19010,5.3
2009,连云港(3207),392647,22295,5.68
2010,连云港(3207),416550,25608,6.15
2011,连云港(3207),433368,26572,6.13
2012,连云港(3207),444232,27015,6.08
2013,连云港(3207),461329,27964,6.06
2014,连云港(3207),476080,28659,6.02
2015,连云港(3207),464393,27708,5.97
2016,连云港(3207),460721,27411,5.95
2017,连云港(3207),458616,27076,5.9
2018,连云港(3207),452915,26708,5.9
2019,连云港(3207),443330,26188,5.91
2020,连云港(3207),706209,41389,5.86
2000,通化(2205),0,0,nan
2001,通化(2205),0,0,nan
2002,通化(2205),0,0,nan
2003,通化(2205),0,0,nan
2004,通化(2205),0,0,nan
2005,通化(2205),0,0,nan
2006,通化(2205),0,0,nan
2007,通化(2205),0,0,nan
2008,通化(2205),0,0,nan
2009,通化(2205),0,0,nan
2010,通化(2205),0,0,nan
2011,通化(2205),0,0,nan
2012,通化(2205),0,0,nan
2013,通化(2205),0,0,nan
2014,通化(2205),0,0,nan
2015,通化(2205),0,0,nan
2016,通化(2205),0,0,nan
2017,通化(2205),0,0,nan
2018,通化(2205),0,0,nan
2019,通化(2205),0,0,nan
2020,通化(2205),0,0,nan
2000,通辽(1505),80153,1081,1.35
2001,通辽(1505),89112,1492,1.67
2002,通辽(1505),97054,1848,1.9
2003,通辽(1505),104906,2297,2.19
2004,通辽(1505),112176,2725,2.43
2005,通辽(1505),121298,3449,2.84
2006,通辽(1505),137440,4225,3.07
2007,通辽(1505),153964,5145,3.34
2008,通辽(1505),170985,6365,3.72
2009,通辽(1505),187908,7601,4.05
2010,通辽(1505),199424,8474,4.25
2011,通辽(1505),207493,8742,4.21
2012,通辽(1505),212896,9038,4.25
2013,通辽(1505),221116,9350,4.23
2014,通辽(1505),228423,9713,4.25
2015,通辽(1505),222910,9426,4.23
2016,通辽(1505),221132,9350,4.23
2017,通辽(1505),220120,9234,4.19
2018,通辽(1505),217493,9125,4.2
2019,通辽(1505),212829,9001,4.23
2020,通辽(1505),340757,15723,4.61
2000,遂宁(5109),292919,13010,4.44
2001,遂宁(5109),253619,10542,4.16
2002,遂宁(5109),221994,8725,3.93
2003,遂宁(5109),195240,7125,3.65
2004,遂宁(5109),172383,5833,3.38
2005,遂宁(5109),155110,4761,3.07
2006,遂宁(5109),147052,4260,2.9
2007,遂宁(5109),137971,3764,2.73
2008,遂宁(5109),128021,3113,2.43
2009,遂宁(5109),117640,2545,2.16
2010,遂宁(5109),103491,2133,2.06
2011,遂宁(5109),107886,2285,2.12
2012,遂宁(5109),110778,2504,2.26
2013,遂宁(5109),114986,2545,2.21
2014,遂宁(5109),118748,2620,2.21
2015,遂宁(5109),115837,2568,2.22
2016,遂宁(5109),115044,2597,2.26
2017,遂宁(5109),114633,2633,2.3
2018,遂宁(5109),113282,2669,2.36
2019,遂宁(5109),110904,2633,2.37
2020,遂宁(5109),176953,4449,2.51
2000,遵义(5203),386567,11145,2.88
2001,遵义(5203),394951,12445,3.15
2002,遵义(5203),404323,13833,3.42
2003,遵义(5203),415156,15505,3.73
2004,遵义(5203),426169,17025,3.99
2005,遵义(5203),447478,20886,4.67
2006,遵义(5203),493992,25147,5.09
2007,遵义(5203),541008,30015,5.55
2008,遵义(5203),588091,35275,6.0
2009,遵义(5203),635877,41128,6.47
2010,遵义(5203),666383,46497,6.98
2011,遵义(5203),694206,48869,7.04
2012,遵义(5203),711997,49886,7.01
2013,遵义(5203),739003,51653,6.99
2014,遵义(5203),762801,53027,6.95
2015,遵义(5203),744748,51616,6.93
2016,遵义(5203),735927,48607,6.6
2017,遵义(5203),732580,48013,6.55
2018,遵义(5203),723436,47236,6.53
2019,遵义(5203),708144,46008,6.5
2020,遵义(5203),1128014,73076,6.48
2000,邢台(1305),238400,4609,1.93
2001,邢台(1305),232501,4741,2.04
2002,邢台(1305),228683,4784,2.09
2003,邢台(1305),226980,5113,2.25
2004,邢台(1305),226018,5301,2.35
2005,邢台(1305),230313,5733,2.49
2006,邢台(1305),247581,6316,2.55
2007,邢台(1305),264275,7028,2.66
2008,邢台(1305),281381,7772,2.76
2009,邢台(1305),298453,8516,2.85
2010,邢台(1305),306359,8897,2.9
2011,邢台(1305),318676,9092,2.85
2012,邢台(1305),326962,9313,2.85
2013,邢台(1305),339452,9713,2.86
2014,邢台(1305),350400,9833,2.81
2015,邢台(1305),341890,9701,2.84
2016,邢台(1305),339334,9600,2.83
2017,邢台(1305),337820,9425,2.79
2018,邢台(1305),333552,9221,2.76
2019,邢台(1305),326722,9077,2.78
2020,邢台(1305),520976,14978,2.87
2000,那曲(5406),0,0,nan
2001,那曲(5406),0,0,nan
2002,那曲(5406),0,0,nan
2003,那曲(5406),0,0,nan
2004,那曲(5406),0,0,nan
2005,那曲(5406),0,0,nan
2006,那曲(5406),0,0,nan
2007,那曲(5406),0,0,nan
2008,那曲(5406),0,0,nan
2009,那曲(5406),0,0,nan
2010,那曲(5406),0,0,nan
2011,那曲(5406),0,0,nan
2012,那曲(5406),0,0,nan
2013,那曲(5406),0,0,nan
2014,那曲(5406),0,0,nan
2015,那曲(5406),0,0,nan
2016,那曲(5406),0,0,nan
2017,那曲(5406),0,0,nan
2018,那曲(5406),0,0,nan
2019,那曲(5406),0,0,nan
2020,那曲(5406),0,0,nan
2000,邯郸(1304),336556,7248,2.15
2001,邯郸(1304),329693,7477,2.27
2002,邯郸(1304),325874,7857,2.41
2003,邯郸(1304),323541,8104,2.5
2004,邯郸(1304),323344,8532,2.64
2005,邯郸(1304),329630,9077,2.75
2006,邯郸(1304),355551,10193,2.87
2007,邯郸(1304),380454,11365,2.99
2008,邯郸(1304),406140,12593,3.1
2009,邯郸(1304),430851,13765,3.19
2010,邯郸(1304),443164,14289,3.22
2011,邯郸(1304),461209,14745,3.2
2012,邯郸(1304),473261,15049,3.18
2013,邯郸(1304),491351,15685,3.19
2014,邯郸(1304),506862,15969,3.15
2015,邯郸(1304),495250,15656,3.16
2016,邯郸(1304),490728,15254,3.11
2017,邯郸(1304),488756,15177,3.11
2018,邯郸(1304),482726,14989,3.11
2019,邯郸(1304),472795,14589,3.09
2020,邯郸(1304),753423,23649,3.14
2000,邵阳(4305),106639,804,0.75
2001,邵阳(4305),107496,840,0.78
2002,邵阳(4305),109380,996,0.91
2003,邵阳(4305),111083,1081,0.97
2004,邵阳(4305),113131,1212,1.07
2005,邵阳(4305),117518,1292,1.1
2006,邵阳(4305),128828,1644,1.28
2007,邵阳(4305),139385,1848,1.33
2008,邵阳(4305),150775,2048,1.36
2009,邵阳(4305),162161,2504,1.54
2010,邵阳(4305),168375,2620,1.56
2011,邵阳(4305),175530,2808,1.6
2012,邵阳(4305),180101,2933,1.63
2013,邵阳(4305),186860,3004,1.61
2014,邵阳(4305),192942,3152,1.63
2015,邵阳(4305),188500,3101,1.65
2016,邵阳(4305),186942,3089,1.65
2017,邵阳(4305),186256,3089,1.66
2018,邵阳(4305),183864,3088,1.68
2019,邵阳(4305),180262,3089,1.71
2020,邵阳(4305),286982,4968,1.73
2000,郑州(4101),1244539,115514,9.28
2001,郑州(4101),1434643,165563,11.54
2002,郑州(4101),1621042,224906,13.87
2003,郑州(4101),1799759,286585,15.92
2004,郑州(4101),1978669,355539,17.97
2005,郑州(4101),2151550,392770,18.26
2006,郑州(4101),2494418,497402,19.94
2007,郑州(4101),2849916,612924,21.51
2008,郑州(4101),3224257,745779,23.13
2009,郑州(4101),3614586,892798,24.7
2010,郑州(4101),3753691,864857,23.04
2011,郑州(4101),3852416,846048,21.96
2012,郑州(4101),3907259,822424,21.05
2013,郑州(4101),4014643,811970,20.23
2014,郑州(4101),4102236,794958,19.38
2015,郑州(4101),3969587,740700,18.66
2016,郑州(4101),3897297,694717,17.83
2017,郑州(4101),3849267,659583,17.14
2018,郑州(4101),3775209,624982,16.55
2019,郑州(4101),3679112,594128,16.15
2020,郑州(4101),5838798,923379,15.81
2000,郴州(4310),191528,4296,2.24
2001,郴州(4310),203697,5217,2.56
2002,郴州(4310),215049,6261,2.91
2003,郴州(4310),226316,7429,3.28
2004,郴州(4310),237319,8589,3.62
2005,郴州(4310),252875,9885,3.91
2006,郴州(4310),282492,12158,4.3
2007,郴州(4310),313374,14454,4.61
2008,郴州(4310),344201,17050,4.95
2009,郴州(4310),375220,19838,5.29
2010,郴州(4310),396048,22284,5.63
2011,郴州(4310),412324,23175,5.62
2012,郴州(4310),423059,23715,5.61
2013,郴州(4310),439087,24571,5.6
2014,郴州(4310),453422,25472,5.62
2015,郴州(4310),442299,24547,5.55
2016,郴州(4310),438921,24396,5.56
2017,郴州(4310),437158,24343,5.57
2018,郴州(4310),431432,23920,5.54
2019,郴州(4310),422786,23488,5.56
2020,郴州(4310),672864,37181,5.53
2000,鄂尔多斯(1506),0,0,nan
2001,鄂尔多斯(1506),0,0,nan
2002,鄂尔多斯(1506),0,0,nan
2003,鄂尔多斯(1506),0,0,nan
2004,鄂尔多斯(1506),0,0,nan
2005,鄂尔多斯(1506),0,0,nan
2006,鄂尔多斯(1506),0,0,nan
2007,鄂尔多斯(1506),0,0,nan
2008,鄂尔多斯(1506),0,0,nan
2009,鄂尔多斯(1506),0,0,nan
2010,鄂尔多斯(1506),0,0,nan
2011,鄂尔多斯(1506),0,0,nan
2012,鄂尔多斯(1506),0,0,nan
2013,鄂尔多斯(1506),0,0,nan
2014,鄂尔多斯(1506),0,0,nan
2015,鄂尔多斯(1506),0,0,nan
2016,鄂尔多斯(1506),0,0,nan
2017,鄂尔多斯(1506),0,0,nan
2018,鄂尔多斯(1506),0,0,nan
2019,鄂尔多斯(1506),0,0,nan
2020,鄂尔多斯(1506),0,0,nan
2000,鄂州(4207),48528,1197,2.47
2001,鄂州(4207),47790,1213,2.54
2002,鄂州(4207),47741,1273,2.67
2003,鄂州(4207),47809,1425,2.98
2004,鄂州(4207),48240,1517,3.14
2005,鄂州(4207),49703,1697,3.41
2006,鄂州(4207),53925,1897,3.52
2007,鄂州(4207),58352,2149,3.68
2008,鄂州(4207),62740,2538,4.05
2009,鄂州(4207),67037,2809,4.19
2010,鄂州(4207),69208,2993,4.32
2011,鄂州(4207),72426,3214,4.44
2012,鄂州(4207),74076,3254,4.39
2013,鄂州(4207),76609,3286,4.29
2014,鄂州(4207),79396,3450,4.35
2015,鄂州(4207),77347,3310,4.28
2016,鄂州(4207),76515,3198,4.18
2017,鄂州(4207),76318,3194,4.19
2018,鄂州(4207),75410,3146,4.17
2019,鄂州(4207),74037,3218,4.35
2020,鄂州(4207),117661,5007,4.26
2000,酒泉(6209),0,0,nan
2001,酒泉(6209),0,0,nan
2002,酒泉(6209),0,0,nan
2003,酒泉(6209),0,0,nan
2004,酒泉(6209),0,0,nan
2005,酒泉(6209),0,0,nan
2006,酒泉(6209),0,0,nan
2007,酒泉(6209),0,0,nan
2008,酒泉(6209),0,0,nan
2009,酒泉(6209),0,0,nan
2010,酒泉(6209),0,0,nan
2011,酒泉(6209),0,0,nan
2012,酒泉(6209),0,0,nan
2013,酒泉(6209),0,0,nan
2014,酒泉(6209),0,0,nan
2015,酒泉(6209),0,0,nan
2016,酒泉(6209),0,0,nan
2017,酒泉(6209),0,0,nan
2018,酒泉(6209),0,0,nan
2019,酒泉(6209),0,0,nan
2020,酒泉(6209),0,0,nan
2000,重庆(5000),1668795,51794,3.1
2001,重庆(5000),1880051,71530,3.8
2002,重庆(5000),2076153,93527,4.5
2003,重庆(5000),2261403,117890,5.21
2004,重庆(5000),2439730,144354,5.92
2005,重庆(5000),2658835,175276,6.59
2006,重庆(5000),3035913,220155,7.25
2007,重庆(5000),3421772,270667,7.91
2008,重庆(5000),3813705,325120,8.53
2009,重庆(5000),4212797,384920,9.14
2010,重庆(5000),4497839,437223,9.72
2011,重庆(5000),4670770,444795,9.52
2012,重庆(5000),4787368,451224,9.43
2013,重庆(5000),4963850,462330,9.31
2014,重庆(5000),5120255,471681,9.21
2015,重庆(5000),4994575,456212,9.13
2016,重庆(5000),4947591,446022,9.01
2017,重庆(5000),4922341,439159,8.92
2018,重庆(5000),4858840,430874,8.87
2019,重庆(5000),4754495,418316,8.8
2020,重庆(5000),7570032,661443,8.74
2000,金华(3307),1191142,148626,12.48
2001,金华(3307),1295886,185227,14.29
2002,金华(3307),1399942,224689,16.05
2003,金华(3307),1504786,267475,17.77
2004,金华(3307),1610216,313265,19.45
2005,金华(3307),1748428,368721,21.09
2006,金华(3307),1987367,444789,22.38
2007,金华(3307),2234602,528692,23.66
2008,金华(3307),2498633,628786,25.17
2009,金华(3307),2772985,738811,26.64
2010,金华(3307),2956850,815237,27.57
2011,金华(3307),3072879,844029,27.47
2012,金华(3307),3062388,775484,25.32
2013,金华(3307),3145381,771355,24.52
2014,金华(3307),3212666,761025,23.69
2015,金华(3307),3109652,716264,23.03
2016,金华(3307),3069070,695034,22.65
2017,金华(3307),3040333,675763,22.23
2018,金华(3307),2986866,651681,21.82
2019,金华(3307),2909766,622850,21.41
2020,金华(3307),4609055,965496,20.95
2000,金昌(6203),69567,5391,7.75
2001,金昌(6203),65862,5179,7.86
2002,金昌(6203),63366,5148,8.12
2003,金昌(6203),61413,5127,8.35
2004,金昌(6203),60294,5217,8.65
2005,金昌(6203),59847,5194,8.68
2006,金昌(6203),63786,5828,9.14
2007,金昌(6203),66797,6094,9.12
2008,金昌(6203),70190,6526,9.3
2009,金昌(6203),73032,7040,9.64
2010,金昌(6203),74594,7529,10.09
2011,金昌(6203),77868,7898,10.14
2012,金昌(6203),79781,8125,10.18
2013,金昌(6203),82977,8627,10.4
2014,金昌(6203),85838,8899,10.37
2015,金昌(6203),83711,8741,10.44
2016,金昌(6203),83063,8719,10.5
2017,金昌(6203),82818,8719,10.53
2018,金昌(6203),81826,8718,10.65
2019,金昌(6203),80223,8533,10.64
2020,金昌(6203),127724,13660,10.69
2000,钦州(4507),73143,816,1.12
2001,钦州(4507),79701,1081,1.36
2002,钦州(4507),85877,1292,1.5
2003,钦州(4507),91605,1684,1.84
2004,钦州(4507),97347,1984,2.04
2005,钦州(4507),104389,2480,2.38
2006,钦州(4507),118070,2972,2.52
2007,钦州(4507),131495,3761,2.86
2008,钦州(4507),144585,4361,3.02
2009,钦州(4507),158915,5137,3.23
2010,钦州(4507),168442,6085,3.61
2011,钦州(4507),175607,6401,3.65
2012,钦州(4507),179978,6529,3.63
2013,钦州(4507),186508,6589,3.53
2014,钦州(4507),192696,6817,3.54
2015,钦州(4507),188085,6533,3.47
2016,钦州(4507),186451,6529,3.5
2017,钦州(4507),185717,6369,3.43
2018,钦州(4507),183344,6221,3.39
2019,钦州(4507),179404,5989,3.34
2020,钦州(4507),286148,9746,3.41
2000,铁岭(2112),173180,5901,3.41
2001,铁岭(2112),157561,5289,3.36
2002,铁岭(2112),144753,4761,3.29
2003,铁岭(2112),134596,4448,3.3
2004,铁岭(2112),125610,3985,3.17
2005,铁岭(2112),120404,3868,3.21
2006,铁岭(2112),122193,3868,3.17
2007,铁岭(2112),123607,3873,3.13
2008,铁岭(2112),124493,3868,3.11
2009,铁岭(2112),125099,3865,3.09
2010,铁岭(2112),122110,3817,3.13
2011,铁岭(2112),126924,3868,3.05
2012,铁岭(2112),130159,3897,2.99
2013,铁岭(2112),135254,4089,3.02
2014,铁岭(2112),139739,4261,3.05
2015,铁岭(2112),136201,4113,3.02
2016,铁岭(2112),135262,4101,3.03
2017,铁岭(2112),134825,4101,3.04
2018,铁岭(2112),133025,4089,3.07
2019,铁岭(2112),130282,3984,3.06
2020,铁岭(2112),208599,7250,3.48
2000,铜仁(5206),49220,348,0.71
2001,铜仁(5206),54830,424,0.77
2002,铜仁(5206),59402,572,0.96
2003,铜仁(5206),64167,708,1.1
2004,铜仁(5206),68727,804,1.17
2005,铜仁(5206),74040,1044,1.41
2006,铜仁(5206),83693,1292,1.54
2007,铜仁(5206),93728,1736,1.85
2008,铜仁(5206),103757,2113,2.04
2009,铜仁(5206),113827,2645,2.32
2010,铜仁(5206),121350,3152,2.6
2011,铜仁(5206),126158,3209,2.54
2012,铜仁(5206),129457,3296,2.55
2013,铜仁(5206),134547,3449,2.56
2014,铜仁(5206),138832,3488,2.51
2015,铜仁(5206),135357,3369,2.49
2016,铜仁(5206),134342,3248,2.42
2017,铜仁(5206),133836,3212,2.4
2018,铜仁(5206),132073,3193,2.42
2019,铜仁(5206),129345,3152,2.44
2020,铜仁(5206),206330,5161,2.5
2000,铜川(6102),57841,2081,3.6
2001,铜川(6102),56528,2099,3.71
2002,铜川(6102),55934,2250,4.02
2003,铜川(6102),55169,2409,4.37
2004,铜川(6102),55069,2498,4.54
2005,铜川(6102),56214,2618,4.66
2006,铜川(6102),60697,3030,4.99
2007,铜川(6102),64725,3286,5.08
2008,铜川(6102),69276,3842,5.55
2009,铜川(6102),73032,4067,5.57
2010,铜川(6102),75289,4417,5.87
2011,铜川(6102),78840,4780,6.06
2012,铜川(6102),80773,4859,6.02
2013,铜川(6102),83685,5128,6.13
2014,铜川(6102),86610,5347,6.17
2015,铜川(6102),84718,5349,6.31
2016,铜川(6102),84077,5420,6.45
2017,铜川(6102),83931,5456,6.5
2018,铜川(6102),82877,5476,6.61
2019,铜川(6102),81452,5528,6.79
2020,铜川(6102),129840,9071,6.99
2000,铜陵(3407),82528,5109,6.19
2001,铜陵(3407),84371,5773,6.84
2002,铜陵(3407),85739,6242,7.28
2003,铜陵(3407),87550,6998,7.99
2004,铜陵(3407),90128,7777,8.63
2005,铜陵(3407),94045,8487,9.02
2006,铜陵(3407),103666,9891,9.54
2007,铜陵(3407),113065,11360,10.05
2008,铜陵(3407),122727,12939,10.54
2009,铜陵(3407),132237,14446,10.92
2010,铜陵(3407),139166,16368,11.76
2011,铜陵(3407),144705,16888,11.67
2012,铜陵(3407),148265,17182,11.59
2013,铜陵(3407),153833,17768,11.55
2014,铜陵(3407),158821,18294,11.52
2015,铜陵(3407),145793,8744,6.0
2016,铜陵(3407),145066,8887,6.13
2017,铜陵(3407),144412,8959,6.2
2018,铜陵(3407),142739,8964,6.28
2019,铜陵(3407),139976,8967,6.41
